HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
852505351,2015,70,2,3,,2,1,95,1,10,0,5000,0,0,0,0,0,0,578,A0402,A1901,1091.210502
853200301,2015,60,7,2,3,6,2,129,1,22602,0,30000,13910,1260,0,0,14120,0,0,A0402,A1905,1240.333872
853200311,2015,68,4,3,,1,1,198,1,420,0,10000,0,0,0,0,0,0,753,A0402,A1901,1289.144801
853200321,2015,38,6,2,2,4,3,52,1,2850,0,4300,0,136,136,0,3000,0,60,A0402,A1903,1637.758501
853200331,2015,64,2,3,9,1,1,79,1,9343,0,8000,30000,0,0,0,840,0,552,A0402,A1902,1565.16008
853200351,2015,68,4,3,,1,2,26,3,1300,210,0,0,0,0,0,0,0,607,A0402,A1901,1351.528916
853200361,2015,47,4,4,4,4,1,56,2,217,2250,0,0,0,0,5000,1548,0,0,A0402,A1901,766.8083023
853200371,2015,67,6,2,4,3,1,115,1,5224,0,10000,0,0,0,0,1700,2000,268,A0402,A1903,1527.16046
853200381,2015,44,6,2,3,4,1,99,1,38925,0,35000,0,15000,15000,12300,0,2600,0,A0402,A1902,1377.086325
853502201,2015,75,2,2,,2,1,83,1,3275,0,21000,0,0,0,0,0,0,445,A0402,A1901,870.3462245
853502291,2015,57,2,2,9,2,1,76,1,642,0,10000,0,3760,3760,0,2260,0,0,A0402,A1902,870.3462245
854200301,2015,60,4,3,6,2,2,145,1,7754,0,32000,0,10000,10000,0,0,3000,0,A0402,A1902,398.3221991
854200331,2015,53,4,2,7,4,1,92,1,7798,0,7000,9000,400,400,0,3500,0,0,A0402,A1903,1564.283041
854200371,2015,65,1,3,,4,2,112,1,1052,0,13000,0,5000,5000,0,2000,0,0,A0402,A1902,1603.132811
854200381,2015,77,6,2,2,2,1,83,1,544,0,5800,0,0,0,0,240,0,3150,A0402,A1903,1119.903696
854502201,2015,33,4,2,7,3,2,122,2,14310,10030,0,0,0,0,0,3000,4000,0,A0402,A1904,1288.458282
854502211,2015,22,4,1,2,1,3,26,3,60,50,0,0,0,0,500,1800,0,0,A0402,A1902,736.451792
854502231,2015,48,5,4,4,1,3,33,3,540,200,0,0,0,0,0,0,2500,0,A0402,A1902,736.451792
854502241,2015,46,5,1,,1,1,50,2,6420,3500,0,0,0,0,0,1200,0,0,A0402,A1901,736.451792
855502231,2015,26,6,2,3,3,2,56,2,2770,8400,0,0,0,0,0,9000,0,0,A0402,A1905,602.6494344
860200321,2015,53,6,2,5,4,2,86,1,18239,0,12000,10000,0,0,0,6609,1717,0,A0402,A1905,1260.190308
860200361,2015,61,3,2,7,2,2,66,1,4322,0,6500,0,0,0,0,2140,0,240,A0402,A1902,1376.894261
860200371,2015,56,4,2,9,4,2,66,1,3815,0,6700,0,0,0,1000,7000,0,352,A0402,A1905,1359.247944
860201351,2015,53,4,2,6,3,1,112,1,10798,0,4000,107000,27500,0,4600,0,12580,714,A0402,A1905,1978.375717
