가구번호,조사년도,가구주 만나이,가구주 교육정도_학교,가구주 혼인상태,가구주 직업,가구원수,현재 살고 있는 주택의 종류,전용면적,현재 살고 있는 주택의 입주형태,     저축액,    현거주지 전월세보증금,      거주주택,      거주주택이외 부동산,      부동산 담보대출,         거주주택 담보대출,    신용대출,  근로소득,  사업소득,  이전소득,수도권여부,소득5분위,가중치
525200211,2015,40,7,2,3,4,2,78,5,4800,0,0,200000,140000,0,95000,0,9600,0,A0401,A1905,1956.9478
550400211,2015,32,7,2,2,2,2,92,5,9930,0,0,0,0,0,0,10000,0,0,A0401,A1905,1291.168348
565200341,2015,77,7,2,,2,2,84,5,3312,0,0,16000,1100,0,0,0,0,4300,A0401,A1903,1148.968198
613203391,2015,65,7,2,,4,1,165,5,4491,0,0,2000,0,0,800,9200,0,276,A0401,A1905,3002.136039
614201111,2015,44,4,2,9,6,2,65,5,7032,0,0,0,0,0,0,720,3600,0,A0401,A1903,2541.347431
615201101,2015,67,3,2,9,2,1,58,5,30,0,0,25000,3000,0,0,0,500,496,A0401,A1901,2256.397262
638501291,2015,69,2,2,,2,3,47,5,6,0,0,0,0,0,0,0,0,539,A0401,A1901,1397.510025
710300151,2015,30,6,2,3,2,2,85,5,1930,0,0,0,0,0,400,1500,1800,0,A0401,A1903,2867.402678
711503311,2015,52,5,1,9,1,3,43,5,1,0,0,0,0,0,7000,1260,0,0,A0401,A1901,2017.338507
712200141,2015,79,3,2,,2,3,53,5,254,0,0,50500,12000,0,0,0,0,440,A0401,A1901,2707.983652
712203351,2015,79,6,3,,2,2,165,5,400,0,0,0,0,0,0,0,0,904,A0401,A1901,550.8405464
712503301,2015,24,4,1,7,1,1,26,5,280,0,0,0,0,0,0,600,0,30,A0401,A1901,2017.338507
713204151,2015,41,7,2,2,3,2,143,5,27056,0,0,14000,0,0,0,15000,0,0,A0401,A1905,3168.718656
714202131,2015,52,6,2,2,3,1,116,5,3674,0,0,45000,0,0,0,5500,0,0,A0401,A1904,3803.612796
715200351,2015,43,6,2,2,4,2,59,5,6445,0,0,65000,0,0,2000,7200,0,0,A0401,A1904,3655.849701
715202191,2015,79,6,2,,2,2,135,5,52500,0,0,0,0,0,0,0,0,0,A0401,A1901,2393.047718
715203321,2015,71,2,2,,5,1,159,5,130,0,0,0,0,0,0,720,0,1044,A0401,A1902,3994.786666
719201121,2015,67,2,2,2,2,3,54,5,934,0,0,7000,0,0,0,1200,0,694,A0401,A1902,2503.72066
719203341,2015,75,2,3,,1,3,106,5,10,0,0,0,0,0,0,0,0,1315,A0401,A1901,2304.900782
719203361,2015,55,4,2,3,4,1,66,5,2251,0,0,0,0,0,0,5400,0,0,A0401,A1904,3751.796648
741200381,2015,68,4,3,9,1,2,40,5,2,0,0,0,0,0,0,600,0,229,A0401,A1901,1570.013828
810300151,2015,29,5,1,2,2,2,59,5,9490,0,0,0,0,0,0,4300,0,1228,A0401,A1904,4613.94555
811500131,2015,28,7,1,2,1,2,59,5,1680,0,0,0,0,0,0,0,3000,0,A0401,A1902,2090.076762
814201101,2015,87,5,2,,2,2,65,5,3040,0,0,0,0,0,0,0,0,386,A0401,A1901,2001.192529
814204151,2015,41,6,2,3,4,2,148,5,5400,0,0,31000,0,0,4000,9000,0,0,A0401,A1905,2352.468436
814503351,2015,45,6,2,1,4,2,142,5,29400,0,0,80000,3751,0,0,24000,0,0,A0401,A1905,1168.819132
833200201,2015,46,4,2,1,4,1,56,5,3796,0,0,0,0,0,1000,120,1000,0,A0401,A1901,2198.210072
910202351,2015,69,3,3,8,1,2,48,5,14017,0,0,30000,6000,0,0,0,1800,1904,A0401,A1903,2167.931947
912204191,2015,43,4,2,9,6,3,99,5,30,0,0,0,0,0,0,500,0,120,A0401,A1901,3172.277724
913201361,2015,70,1,3,,1,2,139,5,150,0,0,0,0,0,0,0,0,419,A0401,A1901,2915.609154
913202391,2015,63,3,3,9,1,2,44,5,3930,0,0,31500,0,0,0,1340,0,288,A0401,A1902,3623.613784
914202371,2015,51,4,2,7,3,1,99,5,2890,0,0,0,0,0,0,3600,3600,0,A0401,A1905,3349.465765
914500131,2015,29,6,1,3,2,1,66,5,3350,0,0,0,0,0,0,3960,0,20,A0401,A1903,2588.227486
915503331,2015,72,1,2,,2,1,109,5,100,0,0,0,0,0,0,0,0,886,A0401,A1901,2688.472509
915503341,2015,46,7,2,2,4,1,92,5,650,0,0,0,0,0,800,5400,0,0,A0401,A1904,3294.254455
918202351,2015,77,2,3,,1,1,41,5,50,0,0,0,0,0,0,0,0,659,A0401,A1901,3044.294927
919201141,2015,72,2,2,,2,3,37,5,1120,0,0,0,0,0,0,0,0,600,A0401,A1901,2087.495358
935201231,2015,87,2,3,,1,1,99,5,80,0,0,0,0,0,0,0,0,1220,A0401,A1901,1920.736665
935501271,2015,62,4,2,8,3,1,116,5,5210,0,0,8000,0,0,0,6600,0,0,A0401,A1904,1576.27483
